text,intent
Add 'Shape of You' by Ed Sheeran to my playlist.,add
Could you please add the song 'Thriller'?,add
Add 'Bohemian Rhapsody' to my music list.,add
Add 'Hotel California' by Eagles.,add
I want to add 'Stairway to Heaven'.,add
Please add 'Hey Jude' by The Beatles.,add
Include 'Imagine' by John Lennon in my playlist.,add
Add 'Billie Jean' by Michael Jackson to my list.,add
Add 'Wonderwall' by Oasis.,add
Could you add 'Like a Rolling Stone' by Bob Dylan?,add
Add 'Smells Like Teen Spirit' by Nirvana.,add
Please add 'Purple Haze' by Jimi Hendrix.,add
Add 'Comfortably Numb' by Pink Floyd.,add
Can you add 'Sweet Child O' Mine' by Guns N' Roses?,add
Add 'All of Me' by John Legend to my music list.,add
I want to add 'Rolling in the Deep' by Adele.,add
Add 'Hallelujah' by Leonard Cohen to my playlist.,add
Include 'Take On Me' by a-ha.,add
Please add 'Let It Be' by The Beatles.,add
Add 'Every Breath You Take' by The Police.,add
Add 'Dancing Queen' by ABBA to my songs.,add
Could you add 'Imagine' by John Lennon?,add
Add 'Beat It' by Michael Jackson to my list.,add
I want to add 'What's Going On' by Marvin Gaye.,add
Please add 'Respect' by Aretha Franklin.,add
Include 'Hotel California' by Eagles in my playlist.,add
Add 'I Will Survive' by Gloria Gaynor.,add
Add 'Uptown Funk' by Bruno Mars to my playlist.,add
Can you add 'Hey Ya!' by OutKast?,add
Please add 'Stayin' Alive' by Bee Gees.,add
Add 'Wonderwall' to my music.,add
Add 'Under Pressure' by Queen and David Bowie.,add
I want to add 'Eye of the Tiger' by Survivor.,add
Add 'Billie Jean' by Michael Jackson to my list.,add
Include 'Like a Prayer' by Madonna.,add
Please add 'Back in Black' by AC/DC.,add
"Add 'September' by Earth, Wind & Fire.",add
Can you add 'Come Together' by The Beatles?,add
Add 'Don't Stop Believin'' by Journey.,add
Please add 'Livin' on a Prayer' by Bon Jovi.,add
Add 'Imagine' to my playlist.,add
Include 'Dream On' by Aerosmith in my list.,add
Add 'My Heart Will Go On' by Celine Dion.,add
I want to add 'Sweet Home Alabama' by Lynyrd Skynyrd.,add
Please add 'Thriller' by Michael Jackson.,add
Add 'Somebody to Love' by Queen.,add
Include 'Rolling in the Deep' by Adele.,add
Add 'One' by U2 to my playlist.,add
Can you add 'Superstition' by Stevie Wonder?,add
Add 'Heroes' by David Bowie.,add
Please add 'Imagine' by John Lennon to my list.,add
Add 'Another One Bites the Dust' by Queen.,add
Include 'Bohemian Rhapsody' by Queen.,add
Add 'Don't Stop Me Now' by Queen to my playlist.,add
Add 'Nothing Else Matters' by Metallica.,add
Please add 'Smells Like Teen Spirit' by Nirvana.,add
Add 'Creep' by Radiohead to my music.,add
Could you add 'We Will Rock You' by Queen?,add
Add 'Come As You Are' by Nirvana.,add
I want to add 'Yesterday' by The Beatles.,add
Include 'Highway to Hell' by AC/DC in my playlist.,add
Add 'One More Time' by Daft Punk.,add
Please add 'Piano Man' by Billy Joel.,add
Add 'Clocks' by Coldplay to my list.,add
Could you add 'Imagine' by John Lennon?,add
Add 'Let It Be' by The Beatles.,add
I want to add 'Shallow' by Lady Gaga and Bradley Cooper.,add
Include 'Smooth Criminal' by Michael Jackson.,add
Add 'Viva La Vida' by Coldplay.,add
Please add 'Take On Me' by a-ha.,add
Add 'Billie Jean' to my playlist.,add
Add 'Sweet Caroline' by Neil Diamond.,add
Can you add 'Hotel California' by Eagles?,add
Please add 'Bohemian Rhapsody' by Queen.,add
Add 'Thriller' by Michael Jackson.,add
Include 'All You Need Is Love' by The Beatles.,add
Add 'Hotel California' to my songs.,add
Add 'Imagine' by John Lennon.,add
Please add 'Smooth' by Santana.,add
Add 'Dancing Queen' by ABBA.,add
Can you add 'Purple Rain' by Prince?,add
Include 'Your Song' by Elton John.,add
Add 'Another Brick in the Wall' by Pink Floyd.,add
Please add 'Yesterday' by The Beatles.,add
Add 'Don't Stop Believin'' by Journey.,add
Could you add 'Imagine' by John Lennon?,add
Add 'Karma Police' by Radiohead.,add
I want to add 'I Want to Break Free' by Queen.,add
Include 'Under the Bridge' by Red Hot Chili Peppers.,add
Please add 'Don't Let Me Down' by The Chainsmokers.,add
Add 'Firework' by Katy Perry.,add
Can you add 'Rolling in the Deep' by Adele?,add
Add 'Halo' by Beyoncé to my playlist.,add
Please add 'Numb' by Linkin Park.,add
Include 'Smells Like Teen Spirit' by Nirvana.,add
Add 'Hey Jude' by The Beatles.,add
Could you add 'Seven Nation Army' by The White Stripes?,add
Add 'Just the Way You Are' by Bruno Mars.,add
Add 'Let Her Go' by Passenger.,add
Add 'Time' by Pink Floyd.,add
Include 'In the End' by Linkin Park.,add
Add 'Imagine' by John Lennon to my list.,add
Please add 'My Heart Will Go On' by Celine Dion.,add
Add 'Shape of You' by Ed Sheeran.,add
Can you add 'Shallow' by Lady Gaga and Bradley Cooper?,add
Add 'Someone Like You' by Adele.,add
Include 'Perfect' by Ed Sheeran.,add
Please add 'Billie Jean' by Michael Jackson.,add
Add 'Stay' by Rihanna to my playlist.,add
Add 'What a Wonderful World' by Louis Armstrong.,add
Include 'We Are the Champions' by Queen.,add
Add 'Despacito' by Luis Fonsi.,add
Please add 'Senorita' by Shawn Mendes and Camila Cabello.,add
Add 'See You Again' by Wiz Khalifa.,add
Can you add 'Rockstar' by Post Malone?,add
Add 'Sunflower' by Post Malone.,add
Please add 'Old Town Road' by Lil Nas X.,add
Include 'I Will Always Love You' by Whitney Houston.,add
Add 'Satisfaction' by The Rolling Stones.,add
Add 'God's Plan' by Drake.,add
Please add 'Finesse' by Bruno Mars.,add
Add 'I Gotta Feeling' by The Black Eyed Peas.,add
Can you add 'Sorry' by Justin Bieber?,add
Include 'Blurred Lines' by Robin Thicke.,add
Add 'Rolling in the Deep' by Adele.,add
Please add 'Shallow' by Lady Gaga and Bradley Cooper.,add
Add 'Castle on the Hill' by Ed Sheeran.,add
Include 'Roar' by Katy Perry.,add
Add 'Closer' by The Chainsmokers.,add
Please add 'Call Me Maybe' by Carly Rae Jepsen.,add
Add 'Uptown Funk' by Mark Ronson and Bruno Mars.,add
Can you add 'Photograph' by Ed Sheeran?,add
Add 'Bad Guy' by Billie Eilish.,add
Include 'Shape of You' by Ed Sheeran.,add
Please add 'Stay With Me' by Sam Smith.,add
Add 'Lean On' by Major Lazer.,add
Could you add 'Dark Horse' by Katy Perry?,add
Add 'Counting Stars' by OneRepublic.,add
Include 'Love Me Like You Do' by Ellie Goulding.,add
Add 'Happy' by Pharrell Williams.,add
Please add 'Radioactive' by Imagine Dragons.,add
Add 'Wake Me Up' by Avicii.,add
Include 'Thinking Out Loud' by Ed Sheeran.,add
Add 'Sugar' by Maroon 5.,add
Please add 'Royals' by Lorde.,add
Add 'The Nights' by Avicii.,add
Can you add 'Grenade' by Bruno Mars?,add
Add 'Somebody That I Used to Know' by Gotye.,add
Include 'Timber' by Pitbull and Kesha.,add
Add 'Cheap Thrills' by Sia.,add
Please add 'Don't Let Me Down' by The Chainsmokers.,add
Add 'Shape of You' by Ed Sheeran.,add
Include 'Stressed Out' by Twenty One Pilots.,add
Add 'Animals' by Martin Garrix.,add
Please add 'All About That Bass' by Meghan Trainor.,add
Add 'Shake It Off' by Taylor Swift.,add
Can you add 'Rude' by MAGIC!?,add
Add 'Can't Hold Us' by Macklemore.,add
Include 'Rockstar' by Post Malone.,add
Please add 'Bad Habits' by Ed Sheeran.,add
Add 'Sorry' by Justin Bieber.,add
Include 'Stay' by The Kid LAROI and Justin Bieber.,add
Add 'Blinding Lights' by The Weeknd to my playlist.,add
Include 'Sunflower' by Post Malone and Swae Lee in my list.,add
Add 'Dance Monkey' by Tones and I.,add
Could you add 'Lose Yourself' by Eminem?,add
Add 'Old Town Road' by Lil Nas X featuring Billy Ray Cyrus.,add
Add 'Watermelon Sugar' by Harry Styles to my playlist.,add
Please add 'Circles' by Post Malone.,add
Add 'Lovely' by Billie Eilish and Khalid.,add
I want to add 'Believer' by Imagine Dragons.,add
Add 'Someone You Loved' by Lewis Capaldi.,add
Include 'No Tears Left to Cry' by Ariana Grande.,add
Add 'Perfect' by Ed Sheeran to my playlist.,add
Could you please add 'Don't Start Now' by Dua Lipa?,add
Add 'Senorita' by Shawn Mendes and Camila Cabello.,add
Please add 'Bad Romance' by Lady Gaga.,add
Add 'Shape of You' to my songs.,add
Add 'One Dance' by Drake.,add
Include 'Uptown Funk' by Mark Ronson and Bruno Mars.,add
Please add 'Hello' by Adele.,add
Can you add 'Dynamite' by BTS?,add
Add 'Stressed Out' by Twenty One Pilots to my playlist.,add
Add 'Heat Waves' by Glass Animals.,add
I want to add 'Roar' by Katy Perry.,add
Please add 'Senorita' by Shawn Mendes.,add
Include 'Intentions' by Justin Bieber in my playlist.,add
Add 'Sucker' by Jonas Brothers to my music list.,add
Add 'Peaches' by Justin Bieber.,add
Add 'I'm Yours' by Jason Mraz.,add
Could you please add 'Good 4 U' by Olivia Rodrigo?,add
Add 'Rockstar' by DaBaby featuring Roddy Ricch.,add
Add 'Mood' by 24kGoldn featuring Iann Dior.,add
Please add 'Without Me' by Halsey.,add
Include 'Savage Love' by Jawsh 685 and Jason Derulo.,add
Add 'Lovely Day' by Bill Withers.,add
Can you add 'Bad Guy' by Billie Eilish?,add
Add 'Higher Love' by Kygo and Whitney Houston.,add
Add 'Girls Like You' by Maroon 5.,add
Add 'What Makes You Beautiful' by One Direction.,add
Include 'Feel Good Inc.' by Gorillaz.,add
Add 'Señorita' by Shawn Mendes to my playlist.,add
Please add 'Radioactive' by Imagine Dragons.,add
Add 'Drunk in Love' by Beyoncé.,add
Include 'Don't Stop the Music' by Rihanna.,add
Add 'Happy' by Pharrell Williams.,add
"Could you please add 'Thank U, Next' by Ariana Grande?",add
Add 'All Star' by Smash Mouth.,add
I want to add 'Levitating' by Dua Lipa.,add
Add 'Everything I Wanted' by Billie Eilish.,add
Include 'Lucid Dreams' by Juice WRLD.,add
Add 'Good as Hell' by Lizzo.,add
Add 'Truth Hurts' by Lizzo.,add
Please add 'Hello' by Adele.,add
Add 'Sugar' by Maroon 5 to my list.,add
Could you add 'Heat Waves' by Glass Animals?,add
Add 'Memories' by Maroon 5.,add
Please add 'I Don't Care' by Ed Sheeran and Justin Bieber.,add
Add 'Dancing With A Stranger' by Sam Smith.,add
Include 'Taki Taki' by DJ Snake.,add
Can you add 'Born This Way' by Lady Gaga?,add
Add 'Unforgettable' by French Montana.,add
Add 'Stay' by Zedd and Alessia Cara.,add
Please add 'Bad Habits' by Ed Sheeran.,add
Add 'Kings & Queens' by Ava Max to my playlist.,add
